100,Germany_5y,Germany_10y,Germany_30y,Belgium_5y,Belgium_10y,Belgium_30y,Austria_5y,Austria_10y,Austria_30y,Netherlands_5y,Netherlands_10y,Netherlands_30y,France_5y,France_10y,France_30y,Spain_5y,Spain_10y,Spain_30y,Italy_5y,Italy_10y,Italy_30y
1/15/2016,-16.4,53.9,131.2,-2.1,83.8,189.7,-8,77.7,160.4,-10.4,66.1,143.6,-10.4,66.1,143.6,65.4,175,291.2,56.1,156.4,264.9
1/18/2016,-16.6,53.6,131.2,-3.3,83.5,190,-8,77.4,160.7,-10.6,66,143.9,-10.6,66,143.9,64,174,291.5,56.6,156.4,266.9
1/19/2016,-16.7,54.8,132.2,-4.1,84,189.9,-8,78.3,161.8,-11.3,66.1,145.1,-11.3,66.1,145.1,60.5,170.1,288.2,55.3,155.7,265.2
1/20/2016,-19.8,48.1,122.5,-6,96.3,184.2,-11,73.2,153.1,-13.8,60.9,135.9,-13.8,60.9,135.9,65.7,178.2,296.7,62.2,164.9,275.9
1/21/2016,-24,44.9,121.4,-9.8,91.5,180.5,-16,69.6,153,-18.2,57,134.8,-18.2,57,134.8,60.2,171.9,291.5,54.4,156.1,269.5
1/22/2016,-22.8,48.3,126.4,-9.2,93.6,185,-16,71.7,157.5,-17.8,59.6,139.6,-17.8,59.6,139.6,59.8,172.7,292.9,53.5,157.2,271
1/25/2016,-23.5,47.1,123.2,-10.4,91.6,182.5,-16,70.1,154.3,-18.4,57.9,136.4,-18.4,57.9,136.4,58.8,170.7,290.2,52.2,155.7,269.3
1/26/2016,-24.8,44.5,119.5,-13.2,88.1,178.7,-18,67.6,152,-20.7,55.1,133.1,-20.7,55.1,133.1,53.1,163.8,282.6,48.7,150.6,264.6
1/27/2016,-23.7,44.3,118.4,-11.5,88.2,177.3,-17,68.3,152.6,-19.8,55.4,132.6,-19.8,55.4,132.6,52.5,161.3,279.4,48.6,149.7,263.6
1/28/2016,-26.1,40.3,113.4,-13.4,86.3,174.6,-19,65.6,149.6,-21.4,52.3,128.2,-21.4,52.3,128.2,52.4,161.9,280.2,49.2,151.2,264.7
1/29/2016,-31.3,32.4,105.4,-19.8,76.6,163.6,-25,56.5,141,-27.6,43.3,119.7,-27.6,43.3,119.7,43.7,150.9,272.4,41.7,141.3,258.7
2/1/2016,-28.8,35,108.2,-16.9,80.3,166.8,-22,59.6,142.8,-24.9,46.7,121.7,-24.9,46.7,121.7,45.9,156.1,278.2,43.8,146.7,265
2/2/2016,-31.1,30.6,105.1,-18.7,76.9,164.1,-24,56.2,140,-26.8,43.2,118.8,-26.8,43.2,118.8,46.8,158.1,282.4,44.8,148.5,267.3
2/3/2016,-26.3,27.4,100.2,-20.2,73.7,159,-26,53.5,134.9,-28.7,40.8,113.8,-28.7,40.8,113.8,45.1,154.7,280.3,41.7,143.6,262.5
2/4/2016,-24.5,30.2,102.5,-19,75.9,162,-24,56.7,136.9,-26.8,43.2,116,-26.8,43.2,116,50.9,164.2,289,46.9,153.2,270
2/5/2016,-24.9,29.5,100.4,-19.9,75.4,162.2,-24,56.6,135.3,-27.1,42.5,114.2,-27.1,42.5,114.2,51.2,164,288.1,49.3,155.3,271.1
2/8/2016,-28.8,21.7,90.1,-22.1,72.1,156,-27,51.3,126.6,-29.7,37.3,104.5,-29.7,37.3,104.5,60.4,174.8,297.1,59.3,167.6,279.5
2/9/2016,-29.4,23.3,91.5,-20.6,75.3,159.6,-27,53.8,128.9,-28.3,39.6,106.6,-28.3,39.6,106.6,62.4,174.9,298.7,61.6,168.2,282.3
2/10/2016,-29.1,24.1,94.1,-21.1,75.3,162,-26,53.2,130.8,-29.1,38.6,108.7,-29.1,38.6,108.7,59.7,171.8,297.4,57,163.6,281.5
2/11/2016,-32.7,18.6,85.5,-21.7,74.1,157,-27,51.6,123.9,-31.4,34.9,101.1,-31.4,34.9,101.1,68.7,177.6,305.9,65.9,171.2,290
2/12/2016,-28.7,26,93.2,-17.6,79.3,163.3,-22,58.2,132,-27.6,41.4,108.9,-27.6,41.4,108.9,65,173.5,296.9,60.1,164.7,281.9
2/15/2016,-31.3,23.7,92.6,-22,75.2,161.3,-25,55.8,132.6,-30.3,38.2,108,-30.3,38.2,108,62.5,169.6,288.4,55,159.8,273.8
2/16/2016,-29.8,26.5,97.3,-19.9,78.2,165.7,-23,59.8,139.6,-28.3,41.5,112.8,-28.3,41.5,112.8,65.7,174.6,293,57.7,162.2,275.9
2/17/2016,-29.6,26.8,97.7,-20.2,76.5,163.8,-23,58.6,139.9,-28.7,40.3,113,-28.7,40.3,113,63.7,173.3,290.2,55.3,160,272.9
2/18/2016,-31.8,21.7,91.9,-22.8,70,154.9,-26,52,132.3,-31.3,35,106.5,-31.3,35,106.5,59.5,169.8,284.4,51.6,155.2,268.1
2/19/2016,-32.6,20.1,91.1,-23,68.4,154.3,-26,50.4,131,-31.2,33.7,105.4,-31.2,33.7,105.4,61.2,170.2,282.6,53.1,156.2,266.9
2/22/2016,-33.8,17.5,86.8,-24.6,64.9,148.5,-28,46,126.5,-32.1,31,101.1,-32.1,31,101.1,57.8,165.1,279.4,50.2,151.8,263.2
2/23/2016,-32.9,18.3,86.3,-25.3,66,148,-28,46.5,125.7,-32.3,31.9,100.3,-32.3,31.9,100.3,56.6,163.2,279,50.7,152.9,263.9
2/24/2016,-33.4,15.3,81.7,-25.5,64.7,145.8,-28,44.6,121.6,-32,30.3,96.7,-32,30.3,96.7,55.7,162.1,276,50.7,153.2,263.7
2/25/2016,-35.9,13.7,81.6,-27.6,63.4,146.2,-30,42.7,121.4,-34.8,29,96.5,-34.8,29,96.5,56.1,160.4,273.1,49,151.1,261.1
2/26/2016,-36.9,14.6,84.9,-28.1,62.3,147.8,-31,42.3,133.2,-36.1,28.8,99.4,-36.1,28.8,99.4,54.4,157,268.7,46.8,147.2,256.2
2/29/2016,-40.8,10.6,83.9,-31.6,58.7,147.7,-34,38.3,131.7,-40.7,24.7,98.1,-40.7,24.7,98.1,48.5,152.7,263.6,39.6,142.1,251.2
3/1/2016,-39,14.5,90.5,-30.2,61.9,155,-33,43,138,-38.7,28.6,104.3,-38.7,28.6,104.3,40.7,148.5,264,35.1,138,251.1
3/2/2016,-36.1,20.6,99,-26.8,67.3,163.2,-29,49.3,146,-35.9,34.3,112.1,-35.9,34.3,112.1,44.3,156.8,274.4,37.5,145.8,261.4
